val_EncDecLoss,val_ConceptLoss,val_DisentagleEmbedding,val_DisentagleConcepts,val_loss,epoch,step,train_EncDecLoss,train_ConceptLoss,train_DisentagleEmbedding,train_DisentagleConcepts,train_loss
0.2910909652709961,0.18298140168190002,36.25143814086914,0.03549833595752716,36.76101303100586,0,56,,,,,
,,,,,0,56,0.17569276690483093,0.20680397748947144,0.00942621286958456,0.009479555301368237,0.40140244364738464
0.13269200921058655,0.18113237619400024,0.0005554630770348012,0.0009047623025253415,0.3152846097946167,1,113,,,,,
,,,,,1,113,0.13247838616371155,0.18520013988018036,0.001022360404022038,0.0019488363759592175,0.3206496834754944
0.12981554865837097,0.18130427598953247,0.003406435949727893,0.0005829613655805588,0.3151091933250427,2,170,,,,,
,,,,,2,170,0.125446617603302,0.18501350283622742,0.0003574838337954134,0.0010750831570476294,0.31189268827438354
0.15885791182518005,0.18062125146389008,0.0017753037391230464,0.0006228322745300829,0.3418773114681244,3,227,,,,,
,,,,,3,227,0.12451529502868652,0.18504774570465088,0.00022328524210024625,0.0008210471132770181,0.3106074333190918
0.13044330477714539,0.18122971057891846,0.22869813442230225,0.0022136184852570295,0.5425847172737122,4,284,,,,,
,,,,,4,284,0.12382423877716064,0.18507349491119385,0.0001745321787893772,0.0007182636181823909,0.30979055166244507
0.20122605562210083,0.1809399425983429,0.005083634052425623,0.000894230033736676,0.3881438672542572,5,341,,,,,
,,,,,5,341,0.12344899028539658,0.1849682778120041,0.00042658441816456616,0.0007041408680379391,0.3095480501651764
0.12780697643756866,0.1809152513742447,0.000993085908703506,0.000439860305050388,0.31015515327453613,6,398,,,,,
,,,,,6,398,0.12516243755817413,0.185079425573349,0.000635519390925765,0.0009486613562330604,0.31182605028152466
0.1271938532590866,0.18082931637763977,0.0036090605426579714,0.00046237336937338114,0.3120945692062378,7,455,,,,,
,,,,,7,455,0.12369702011346817,0.18495123088359833,0.0001923506351886317,0.0005557989934459329,0.309396356344223
0.12569595873355865,0.1808086335659027,0.00013858081365469843,0.00033983463072218,0.30698302388191223,8,512,,,,,
,,,,,8,512,0.12310135364532471,0.1852765828371048,0.00013433187268674374,0.0005176322883926332,0.3090299665927887
0.12429028749465942,0.18066373467445374,0.007010393310338259,0.00045201051398180425,0.3124164342880249,9,569,,,,,
,,,,,9,569,0.12204503268003464,0.1849084049463272,0.0001212449642480351,0.000475598790217191,0.3075502812862396
0.12461096048355103,0.18113750219345093,0.0035409536212682724,0.0004580061067827046,0.3097474277019501,10,626,,,,,
,,,,,10,626,0.12268172204494476,0.18515728414058685,9.552465780870989e-05,0.00042926400783471763,0.3083638548851013
0.12196900695562363,0.18122929334640503,0.005837932229042053,0.0007019448676146567,0.3097381293773651,11,683,,,,,
,,,,,11,683,0.12227156013250351,0.18491336703300476,9.59860990406014e-05,0.0004921752843074501,0.30777308344841003
0.12372215837240219,0.18057677149772644,0.0015633701113983989,0.00042955580283887684,0.3062918186187744,12,740,,,,,
,,,,,12,740,0.12189259380102158,0.1849103718996048,7.794193516019732e-05,0.00038062792737036943,0.30726152658462524
0.13500508666038513,0.18114376068115234,0.00585332652553916,0.0004570223100017756,0.3224591910839081,13,797,,,,,
,,,,,13,797,0.1213652491569519,0.1848110407590866,7.630926847923547e-05,0.00035401451168581843,0.30660656094551086
0.1431519091129303,0.1808474212884903,0.01647711917757988,0.0005996865802444518,0.3410761058330536,14,854,,,,,
,,,,,14,854,0.12118062376976013,0.18481943011283875,8.576858817832544e-05,0.00039795078919269145,0.30648374557495117
0.12310056388378143,0.18061527609825134,0.00902299489825964,0.00045020796824246645,0.31318899989128113,15,911,,,,,
,,,,,15,911,0.12093426287174225,0.1847945749759674,8.636900747660547e-05,0.00034096112358383834,0.30615609884262085
0.1482420414686203,0.1808837354183197,0.22973284125328064,0.002318421145901084,0.5611770153045654,16,968,,,,,
,,,,,16,968,0.12098514288663864,0.18484847247600555,0.00010183786798734218,0.00038512382889166474,0.3063206076622009
0.13650526106357574,0.1816028356552124,0.0006701505626551807,0.000571215117815882,0.3193494379520416,17,1025,,,,,
,,,,,17,1025,0.12081630527973175,0.1848776787519455,8.668383816257119e-05,0.00043697800720110536,0.30621764063835144
0.13000056147575378,0.18098582327365875,0.004998448770493269,0.0007421125774271786,0.3167269825935364,18,1082,,,,,
,,,,,18,1082,0.12038033455610275,0.1848738044500351,5.9971382142975926e-05,0.0003935166459996253,0.3057076632976532
0.1387832909822464,0.18118718266487122,0.0034392918460071087,0.0006174033624120057,0.3240271210670471,19,1139,,,,,
,,,,,19,1139,0.12530328333377838,0.18489548563957214,0.0012310814345255494,0.0011590586509555578,0.3125888705253601
0.13195621967315674,0.18087440729141235,0.0007383667398244143,0.0003287405415903777,0.3138976991176605,20,1196,,,,,
,,,,,20,1196,0.12378720939159393,0.18515580892562866,0.0003669665311463177,0.0004734744143206626,0.30978354811668396
0.13827446103096008,0.18053552508354187,0.0013380778254941106,0.0002988428168464452,0.3204469084739685,21,1253,,,,,
,,,,,21,1253,0.12315170466899872,0.18488872051239014,0.00024219017359428108,0.00040599305066280067,0.30868858098983765
0.12496711313724518,0.180793896317482,0.00022648613958153874,0.00042648823000490665,0.3064139485359192,22,1310,,,,,
,,,,,22,1310,0.1229904517531395,0.1848132610321045,0.0004645900917239487,0.00045446871081367135,0.30872270464897156
0.12780342996120453,0.18108457326889038,0.00039795468910597265,0.0003060756716877222,0.30959203839302063,23,1367,,,,,
,,,,,23,1367,0.12133952975273132,0.18486732244491577,0.00012783060083165765,0.00039283171645365655,0.3067275583744049
0.1264408826828003,0.1811377853155136,0.0003142906934954226,0.0002318667247891426,0.3081248104572296,24,1424,,,,,
,,,,,24,1424,0.12104354053735733,0.18493890762329102,9.790487820282578e-05,0.0003507549990899861,0.3064311444759369
0.1421540081501007,0.1804620772600174,0.0008885895949788392,0.0004593907215166837,0.32396408915519714,25,1481,,,,,
,,,,,25,1481,0.12113828212022781,0.18495522439479828,8.58612620504573e-05,0.0003813082876149565,0.3065607249736786
0.131419375538826,0.18086625635623932,0.00044580528629012406,0.0002717025054153055,0.31300315260887146,26,1538,,,,,
,,,,,26,1538,0.11985116451978683,0.1849241703748703,6.957090954529122e-05,0.00035812772694043815,0.30520305037498474
0.14021793007850647,0.18085317313671112,0.0004910704446956515,0.00038653824594803154,0.32194870710372925,27,1595,,,,,
,,,,,27,1595,0.11996592581272125,0.1847781389951706,6.537148146890104e-05,0.00028738740365952253,0.3050967752933502
0.13693730533123016,0.18075959384441376,0.0019546516705304384,0.0004053102748002857,0.32005688548088074,28,1652,,,,,
,,,,,28,1652,0.11994632333517075,0.18470878899097443,7.393097621388733e-05,0.00028833371470682323,0.3050173819065094
0.1688782274723053,0.1806606948375702,0.002075744327157736,0.00044168377644382417,0.3520563244819641,29,1709,,,,,
,,,,,29,1709,0.11964299529790878,0.18484988808631897,4.580058157444e-05,0.00035774894058704376,0.30489641427993774
0.14396120607852936,0.1809782236814499,0.000766614219173789,0.00028365847538225353,0.325989693403244,30,1766,,,,,
,,,,,30,1766,0.11953069269657135,0.1848173290491104,4.93985389766749e-05,0.00025101727806031704,0.30464836955070496
0.16329030692577362,0.18104764819145203,0.0016373174730688334,0.00022686441661790013,0.3462021052837372,31,1823,,,,,
,,,,,31,1823,0.11946526169776917,0.18478931486606598,4.743588579003699e-05,0.000259487860603258,0.30456140637397766
0.17870618402957916,0.181086003780365,0.002989943139255047,0.00043748808093369007,0.36321961879730225,32,1880,,,,,
,,,,,32,1880,0.1188851073384285,0.18483391404151917,3.8180529372766614e-05,0.0002701528137549758,0.3040273189544678
0.19130803644657135,0.18057921528816223,0.0028906611260026693,0.00037004798650741577,0.3751479387283325,33,1937,,,,,
,,,,,33,1937,0.11888722330331802,0.18474136292934418,3.740545434993692e-05,0.0002633862604852766,0.3039293885231018
0.1345415711402893,0.18057462573051453,0.0003670424921438098,0.00022417363652493805,0.3157074749469757,34,1994,,,,,
,,,,,34,1994,0.11867635697126389,0.18482550978660583,3.619975541369058e-05,0.00022092631843406707,0.30375900864601135
0.1472863107919693,0.1804468035697937,0.0008985914755612612,0.00038548113661818206,0.32901719212532043,35,2051,,,,,
,,,,,35,2051,0.11860109120607376,0.18483692407608032,3.8631678762612864e-05,0.0002494004147592932,0.30372607707977295
0.1387290507555008,0.1809213012456894,0.0006166963721625507,0.0003193124430254102,0.32058635354042053,36,2108,,,,,
,,,,,36,2108,0.11830086261034012,0.18467776477336884,3.5739205486606807e-05,0.0002255607832921669,0.30323994159698486
0.16030049324035645,0.18064354360103607,0.0013471106067299843,0.00020565329759847373,0.342496782541275,37,2165,,,,,
,,,,,37,2165,0.11855208873748779,0.1846807301044464,3.30796574417036e-05,0.00024207298702094704,0.3035079836845398
0.14187778532505035,0.1805012971162796,0.00048231269465759397,0.00016237683303188533,0.3230237662792206,38,2222,,,,,
,,,,,38,2222,0.1182614341378212,0.1850181668996811,3.1399969884660095e-05,0.0002487646124791354,0.3035598397254944
0.20330025255680084,0.1807907521724701,0.0034258440136909485,0.0002445223508402705,0.38776135444641113,39,2279,,,,,
,,,,,39,2279,0.11842368543148041,0.18472920358181,3.1883155315881595e-05,0.0002099047851515934,0.303394615650177
0.14478671550750732,0.18065473437309265,0.000799336179625243,0.0002546188479755074,0.3264954090118408,40,2336,,,,,
,,,,,40,2336,0.11771538108587265,0.1848480999469757,4.442375939106569e-05,0.00022360196453519166,0.3028315603733063
0.1756482869386673,0.18065589666366577,0.002776823006570339,0.00027888722252100706,0.35935986042022705,41,2393,,,,,
,,,,,41,2393,0.11508781462907791,0.18483677506446838,8.295074076158926e-05,0.00024119809677358717,0.30024874210357666
0.13066695630550385,0.180502250790596,0.0011213921243324876,0.0002965151215903461,0.31258711218833923,42,2450,,,,,
,,,,,42,2450,0.11143779009580612,0.1847902089357376,8.13083752291277e-05,0.00020056120411027223,0.2965098023414612
0.12877880036830902,0.18048948049545288,0.0010255906963720918,0.00019689221517182887,0.3104907274246216,43,2507,,,,,
,,,,,43,2507,0.11005984246730804,0.18474256992340088,5.9674719523172826e-05,0.000189213125850074,0.295051246881485
0.11792796105146408,0.1808226853609085,0.0017840940272435546,0.00024508850765414536,0.3007798194885254,44,2564,,,,,
,,,,,44,2564,0.10929722338914871,0.1847451776266098,4.8018486268119887e-05,0.00019524454546626657,0.2942856252193451
0.11394411325454712,0.1805911660194397,0.00024898326955735683,0.00017809095152188092,0.2949623465538025,45,2621,,,,,
,,,,,45,2621,0.10856117308139801,0.18478669226169586,3.985439980169758e-05,0.0002007502771448344,0.29358845949172974
0.1683827042579651,0.180689737200737,0.00103700568433851,0.0002018479281105101,0.3503113090991974,46,2678,,,,,
,,,,,46,2678,0.10897443443536758,0.18467287719249725,5.059704926679842e-05,0.00017460058734286577,0.2938724756240845
0.1492418497800827,0.18090708553791046,0.0013038150500506163,0.0001724188041407615,0.33162516355514526,47,2735,,,,,
,,,,,47,2735,0.10874650627374649,0.18478402495384216,5.357882764656097e-05,0.00020570076594594866,0.2937898337841034
0.16207155585289001,0.1804344207048416,0.003973325714468956,0.0003763515269383788,0.34685567021369934,48,2792,,,,,
,,,,,48,2792,0.10853365063667297,0.18461973965168,5.4480467952089384e-05,0.0001800742611521855,0.2933879494667053
0.1336471289396286,0.18070416152477264,0.0005576093099080026,0.00024340717936865985,0.31515228748321533,49,2849,,,,,
,,,,,49,2849,0.10809595137834549,0.18468300998210907,4.787616489920765e-05,0.00021226737590041012,0.29303914308547974
0.12547068297863007,0.1805209070444107,0.0005657532601617277,0.00025829020887613297,0.30681562423706055,50,2906,,,,,
,,,,,50,2906,0.10735736787319183,0.18471772968769073,3.778342579607852e-05,0.00019826111383736134,0.2923111319541931
0.12572988867759705,0.1805252730846405,0.0023533091880381107,0.0004039952182210982,0.3090124726295471,51,2963,,,,,
,,,,,51,2963,0.10746339708566666,0.18476518988609314,4.783159965882078e-05,0.00016251567285507917,0.29243895411491394
0.1189819797873497,0.18064694106578827,0.0005478810635395348,0.00024723884416744113,0.3004240095615387,52,3020,,,,,
,,,,,52,3020,0.10727880150079727,0.18471784889698029,3.870098225888796e-05,0.00020958392997272313,0.29224497079849243
0.1434502750635147,0.18046368658542633,0.0007099442300386727,0.0001701390283415094,0.32479405403137207,53,3077,,,,,
,,,,,53,3077,0.10697931051254272,0.18477943539619446,3.436622864683159e-05,0.00019448847160674632,0.2919875681400299
0.14172014594078064,0.18070916831493378,0.0011181001318618655,0.0001868675899459049,0.32373425364494324,54,3134,,,,,
,,,,,54,3134,0.10734637081623077,0.1846984326839447,3.725833448697813e-05,0.00014022173127159476,0.292222261428833
0.13106507062911987,0.180524542927742,0.0004664896405301988,0.00011715676373569295,0.3121732771396637,55,3191,,,,,
,,,,,55,3191,0.10728226602077484,0.18470239639282227,3.844782986561768e-05,0.0001371671532979235,0.2921602129936218
0.12929819524288177,0.18056941032409668,0.0006372809293679893,0.0001879227493191138,0.31069278717041016,56,3248,,,,,
,,,,,56,3248,0.10725931078195572,0.18473750352859497,3.1208208383759484e-05,0.00012778239033650607,0.29215577244758606
0.11231660842895508,0.18097485601902008,0.00015623867511749268,0.00010223071149084717,0.29354989528656006,57,3305,,,,,
,,,,,57,3305,0.1072043851017952,0.18466816842556,3.0623399652540684e-05,0.00012720102677121758,0.29203036427497864
0.1703224629163742,0.18062253296375275,0.0008163184975273907,0.00013838353333994746,0.3518997132778168,58,3362,,,,,
,,,,,58,3362,0.10645129531621933,0.18475086987018585,2.8645870770560578e-05,0.0001349988451693207,0.2913658320903778
0.13397446274757385,0.18054716289043427,0.0009114305139519274,0.00013526505790650845,0.31556832790374756,59,3419,,,,,
,,,,,59,3419,0.10659573972225189,0.18467043340206146,2.8822734748246148e-05,0.00011168604396516457,0.29140669107437134
0.14566990733146667,0.1805967092514038,0.0012544036144390702,0.0002126585750374943,0.3277336657047272,60,3476,,,,,
,,,,,60,3476,0.10685943812131882,0.18465617299079895,2.9323640774236992e-05,0.00011704583448590711,0.29166197776794434
0.11532153189182281,0.18080826103687286,0.000627051224000752,0.00015353239723481238,0.29691043496131897,61,3533,,,,,
,,,,,61,3533,0.10648888349533081,0.1846906989812851,2.9243838071124628e-05,0.0001401097688358277,0.2913488745689392
0.17396847903728485,0.18091320991516113,0.0011699014576151967,0.00017696760187391192,0.3562285304069519,62,3590,,,,,
,,,,,62,3590,0.10639294236898422,0.1847177892923355,2.7667909307638183e-05,0.00012832588981837034,0.2912667393684387
0.1332995742559433,0.18048426508903503,0.0015793428756296635,0.00022364850156009197,0.31558680534362793,63,3647,,,,,
,,,,,63,3647,0.10696357488632202,0.1847073882818222,3.240105797885917e-05,0.0001033830048982054,0.29180675745010376
0.12133809924125671,0.18046221137046814,0.0003867030027322471,6.284138362389058e-05,0.30224984884262085,64,3704,,,,,
,,,,,64,3704,0.10730084776878357,0.18464718759059906,4.635948789655231e-05,0.0001391482219332829,0.29213353991508484
0.12958504259586334,0.1807832568883896,0.0004785544006153941,0.00011208277283003554,0.31095895171165466,65,3761,,,,,
,,,,,65,3761,0.10663057118654251,0.18468381464481354,3.634553650044836e-05,0.0001261204160982743,0.29147687554359436
0.14144136011600494,0.18070082366466522,0.000585339788813144,0.00013304251478984952,0.32286059856414795,66,3818,,,,,
,,,,,66,3818,0.10607390850782394,0.18467244505882263,2.2395104679162614e-05,9.079670417122543e-05,0.2908596098423004
0.11245200783014297,0.18078956007957458,0.0001410792610840872,0.0001170106406789273,0.2934996485710144,67,3875,,,,,
,,,,,67,3875,0.1063557118177414,0.18480397760868073,2.614761069708038e-05,0.00010496970207896084,0.29129084944725037
0.18346157670021057,0.1807604432106018,0.0016216554213315248,0.00013640191173180938,0.3659800887107849,68,3932,,,,,
,,,,,68,3932,0.10652051866054535,0.18472152948379517,2.690188557608053e-05,0.00011187316704308614,0.2913808524608612
0.17855675518512726,0.18067266047000885,0.001327300677075982,0.00010867786477319896,0.3606654107570648,69,3989,,,,,
,,,,,69,3989,0.1069427952170372,0.18460501730442047,3.108200689894147e-05,9.415474050911143e-05,0.29167309403419495
0.13547731935977936,0.180908665060997,0.0007776824641041458,0.00011493232887005433,0.31727859377861023,70,4046,,,,,
,,,,,70,4046,0.10663904249668121,0.1846536546945572,3.256867785239592e-05,0.00011703062045853585,0.29144227504730225
0.14039327204227448,0.1806221306324005,0.0009426184697076678,0.00016854933346621692,0.3221265971660614,71,4103,,,,,
,,,,,71,4103,0.1066351905465126,0.1847129464149475,3.2851567084435374e-05,0.00012264207180123776,0.2915036380290985
0.1271999329328537,0.1804799884557724,0.0006111875409260392,0.00016935683379415423,0.30846044421195984,72,4160,,,,,
,,,,,72,4160,0.10605458170175552,0.18468600511550903,2.880895226553548e-05,0.00010434472642373294,0.29087376594543457
0.1503114253282547,0.1807498037815094,0.0011634585680440068,0.00017006360576488078,0.3323947489261627,73,4217,,,,,
,,,,,73,4217,0.10636033862829208,0.18463364243507385,2.7278099878458306e-05,9.87423918559216e-05,0.29111993312835693
0.12442150712013245,0.18069052696228027,0.0016512882430106401,0.00022531251306645572,0.3069886565208435,74,4274,,,,,
,,,,,74,4274,0.10647019743919373,0.1846267431974411,2.8573829695233144e-05,0.00010009560355683789,0.2912256121635437
0.11313188821077347,0.1805373579263687,0.00025162860401906073,8.432348113274202e-05,0.2940051555633545,75,4331,,,,,
,,,,,75,4331,0.10622551292181015,0.18460699915885925,2.426867649774067e-05,8.131640788633376e-05,0.29093804955482483
0.1653774529695511,0.18072476983070374,0.004611166659742594,0.000310008879750967,0.3510233759880066,76,4388,,,,,
,,,,,76,4388,0.10639777034521103,0.18466156721115112,2.659491656231694e-05,9.024923201650381e-05,0.2911761701107025
0.11942977458238602,0.1805470585823059,0.00026434799656271935,0.000154303023009561,0.30039548873901367,77,4445,,,,,
,,,,,77,4445,0.10608994215726852,0.1846739649772644,2.7468562620924786e-05,0.00010224348807241768,0.2908935546875
0.1651589721441269,0.18053947389125824,0.0012673488818109035,0.00011718328460119665,0.3470829427242279,78,4502,,,,,
,,,,,78,4502,0.10645031929016113,0.1846533566713333,3.3131753298221156e-05,9.348672756459564e-05,0.29123032093048096
0.13512907922267914,0.18065360188484192,0.0006868111668154597,0.0001115337508963421,0.3165810704231262,79,4559,,,,,
,,,,,79,4559,0.10658767819404602,0.18464145064353943,2.916120683948975e-05,9.497087012277916e-05,0.29135316610336304
0.1751161813735962,0.18060415983200073,0.0033427542075514793,0.0003599886258598417,0.35942307114601135,80,4616,,,,,
,,,,,80,4616,0.10625000298023224,0.18471521139144897,2.920592305599712e-05,9.812606731429696e-05,0.29109254479408264
0.11279703676700592,0.18074621260166168,0.00015402286953758448,0.00010226014273939654,0.293799489736557,81,4673,,,,,
,,,,,81,4673,0.10609105229377747,0.1846616417169571,2.654084710229654e-05,8.178490679711103e-05,0.29086098074913025
0.12655895948410034,0.18079045414924622,0.00034803073504008353,0.00010036192543338984,0.3077978193759918,82,4730,,,,,
,,,,,82,4730,0.10571880638599396,0.1846514344215393,2.4901395590859465e-05,9.239332575816661e-05,0.29048749804496765
0.10861653834581375,0.18075090646743774,0.0006697530043311417,0.00016774176037870347,0.2902049422264099,83,4787,,,,,
,,,,,83,4787,0.10640805214643478,0.1847372204065323,3.193888915120624e-05,0.00010441242920933291,0.29128164052963257
0.12895262241363525,0.18060971796512604,0.0005727028474211693,0.00011379393981769681,0.31024885177612305,84,4844,,,,,
,,,,,84,4844,0.10673169791698456,0.1846488118171692,3.414947786950506e-05,8.745564991841093e-05,0.29150205850601196
0.11880364269018173,0.1803986132144928,0.0018778726225718856,0.00036747200647369027,0.3014476001262665,85,4901,,,,,
,,,,,85,4901,0.10572332888841629,0.1846010386943817,2.5915544028976e-05,8.507144229952246e-05,0.2904353439807892
0.11935941129922867,0.1806768774986267,0.0013523079687729478,0.00024899234995245934,0.3016376197338104,86,4958,,,,,
,,,,,86,4958,0.10622389614582062,0.1845240741968155,2.6206924303551205e-05,7.954207103466615e-05,0.29085367918014526
0.1135183796286583,0.18048112094402313,0.00016377028077840805,7.137125066947192e-05,0.29423466324806213,87,5015,,,,,
,,,,,87,5015,0.10632305592298508,0.18474853038787842,2.9515727874240838e-05,0.00010236984235234559,0.29120346903800964
0.11333595216274261,0.18062834441661835,0.00018096299027092755,9.829484770307317e-05,0.29424357414245605,88,5072,,,,,
